ID,GeneName,Community
6049,RBM7,6
6051,RBMS1,6
6054,RBMX2,6
6061,RC3H1,6
6062,RC3H2,6
6064,RCBTB1,6
6065,RCBTB2,6
6067,RCC1L,6
6071,RCL1,6
6075,RCOR1,6
6076,RCOR2,6
6079,RDH11,6
6093,REPIN1,6
6096,RERE,6
6098,RESF1,6
6099,REST,6
6109,RFC3,6
6110,RFC4,6
6113,RFNG,6
6120,RFXAP,6
6124,RGL3,6
6126,RGP1,6
6135,RHBDD1,6
6144,RHOB,6
6145,RHOBTB1,6
6152,RHOU,6
6165,RIOK2,6
6167,RIOX1,6
6176,RLIM,6
6181,RMI2,6
6183,RMND5A,6
6187,RNASEH1,6
6195,RNF113A,6
6198,RNF121,6
6210,RNF144B,6
6231,RNF214,6
6232,RNF216,6
6236,RNF25,6
6237,RNF26,6
6239,RNF38,6
6242,RNF40,6
6244,RNF44,6
6246,RNF6,6
6250,RNMT,6
6253,RNPS1,6
6254,RO60,6
6255,ROCK1,6
6267,RPAP1,6
6269,RPE,6
6272,RPIA,6
6309,RPL39L,6
6311,RPL41,6
6326,RPP30,6
6329,RPRD1A,6
6330,RPRD1B,6
6331,RPRD2,6
6361,RPS6KA2,6
6370,RPTOR,6
6372,RPUSD2,6
6376,RRAGA,6
6377,RRAGB,6
6387,RRN3,6
6388,RRNAD1,6
6390,RRP12,6
6391,RRP15,6
6392,RRP1B,6
6397,RSAD1,6
6400,RSBN1L,6
6401,RSF1,6
6407,RSPRY1,6
6418,RTL5,6
6420,RTL8A,6
6421,RTL8B,6
6422,RTL8C,6
6427,RTRAF,6
6438,RWDD2B,6
6461,SAFB,6
6462,SAFB2,6
6463,SALL2,6
6466,SAMD11,6
6476,SAP30L,6
6477,SAPCD2,6
6479,SAR1B,6
6488,SAV1,6
6489,SAYSD1,6
6490,SBDS,6
6492,SBK1,6
6500,SCAF4,6
6502,SCAMP1,6
6506,SCAMP5,6
6507,SCAND1,6
6513,SCCPDH,6
6516,SCFD2,6
