node_id,gene_name,community_id,degree,clustering
8262,TINF2,15,898.000000,0.355024
8263,TIPARP,13,146.000000,0.415399
8264,TIPRL,5,584.000000,0.337772
8265,TJAP1,15,898.000000,0.439875
8266,TJP1,6,774.000000,0.561402
8267,TJP3,3,402.000000,0.337266
8268,TK1,3,188.000000,0.375583
8269,TK2,4,282.000000,0.281265
8270,TKFC,3,1290.000000,0.414050
8271,TKT,2,26.000000,0.541538
8272,TLCD1,7,218.000000,0.529320
8273,TLCD3A,1,108.000000,0.270855
8274,TLE1,7,23.000000,0.367589
8275,TLE2,4,492.000000,0.427078
8276,TLE3,3,644.000000,0.354747
8277,TLE5,3,931.000000,0.491644
8278,TLK1,6,846.000000,0.489068
8279,TLK2,6,310.000000,0.605053
8280,TLN1,4,405.000000,0.405562
8281,TLN2,2,358.000000,0.476597
8282,TLNRD1,3,568.000000,0.564877
8283,TLR2,1,80.000000,0.533228
8284,TM2D1,6,421.000000,0.450775
8285,TM2D2,1,218.000000,0.399146
8286,TM2D3,15,834.000000,0.374112
8287,TM4SF1,4,308.000000,0.556644
8288,TM4SF18,4,334.000000,0.516301
8289,TM7SF2,2,173.000000,0.810055
8290,TM7SF3,5,843.000000,0.495386
8291,TM9SF2,6,341.000000,0.420459
8292,TM9SF3,5,880.000000,0.469226
8293,TM9SF4,6,1033.000000,0.373688
8294,TMA16,15,111.000000,0.324652
8295,TMA7,3,339.000000,0.543017
8296,TMBIM1,2,349.000000,0.539143
8297,TMBIM4,3,88.000000,0.555904
8298,TMBIM6,6,369.000000,0.311123
8299,TMC4,3,768.000000,0.499239
8300,TMC5,11,96.000000,0.391667
8301,TMC6,7,182.000000,0.493413
8302,TMCC1,6,749.000000,0.496527
8303,TMCO1,7,380.000000,0.293626
8304,TMCO3,15,143.000000,0.395056
8305,TMCO4,15,465.000000,0.460113
8306,TMED1,3,971.000000,0.466086
8307,TMED10,6,666.000000,0.393980
8308,TMED2,5,391.000000,0.378766
8309,TMED3,3,338.000000,0.436676
8310,TMED4,3,733.000000,0.301568
8311,TMED5,5,705.000000,0.536158
8312,TMED7,6,652.000000,0.452998
8313,TMED8,6,1165.000000,0.412328
8314,TMED9,3,289.000000,0.332396
8315,TMEM100,2,240.000000,0.795607
8316,TMEM101,3,952.000000,0.502222
8317,TMEM104,11,153.000000,0.336085
8318,TMEM106B,6,655.000000,0.459397
8319,TMEM106C,3,368.000000,0.377991
8320,TMEM109,4,612.000000,0.363927
8321,TMEM11,7,176.000000,0.535325
8322,TMEM115,3,1088.000000,0.488279
8323,TMEM119,1,60.000000,0.418644
8324,TMEM120A,2,260.000000,0.697357
8325,TMEM123,5,610.000000,0.425029
8326,TMEM125,3,433.000000,0.450197
8327,TMEM126A,2,64.000000,0.280258
8328,TMEM126B,5,212.000000,0.379728
8329,TMEM127,6,936.000000,0.373548
8330,TMEM128,15,838.000000,0.320813
8331,TMEM129,3,1197.000000,0.460625
8332,TMEM131,6,1537.000000,0.413241
8333,TMEM131L,5,131.000000,0.726248
8334,TMEM132A,7,133.000000,0.360788
8335,TMEM132C,2,280.000000,0.727343
8336,TMEM134,3,1071.000000,0.489489
8337,TMEM135,6,258.000000,0.502277
8338,TMEM138,15,434.000000,0.385575
8339,TMEM140,2,75.000000,0.450811
8340,TMEM141,3,539.000000,0.517701
8341,TMEM144,6,514.000000,0.445992
8342,TMEM147,3,662.000000,0.485948
8343,TMEM14A,6,35.000000,0.386555
8344,TMEM14B,3,94.000000,0.416381
8345,TMEM14C,3,439.000000,0.482063
8346,TMEM150A,3,508.000000,0.495450
8347,TMEM150C,3,122.000000,0.627964
8348,TMEM158,1,218.000000,0.597599
8349,TMEM159,15,361.000000,0.322745
8350,TMEM160,3,780.000000,0.597870
8351,TMEM161A,3,851.000000,0.495423
8352,TMEM164,15,33.000000,0.412879
8353,TMEM165,5,185.000000,0.412221
8354,TMEM167A,5,1309.000000,0.426584
8355,TMEM167B,6,782.000000,0.500607
8356,TMEM168,6,577.000000,0.558149
8357,TMEM170A,5,530.000000,0.562464
